	Id	BodyTitle	words_tokens	tags_tokens
10	752	"how to create a new object instance from a type one may not always know the type of an object at compile time, but may need to create an instance of the type.  
how do you get a new object instance from a type?
"	['create', 'new', 'object', 'instance', 'type', 'one', 'may', 'always', 'know', 'type', 'object', 'compile', 'time', 'may', 'need', 'create', 'instance', 'type', 'get', 'new', 'object', 'instance', 'type']	['c', '.net', 'performance', 'reflection', 'types']
11	773	"how do i use itertools.groupby()? i havent been able to find an understandable explanation of how to actually use pythons itertools.groupby() function.  what im trying to do is this:

take a list   in this case, the children of an objectified lxml element
divide it into groups based on some criteria
then later iterate over each of these groups separately.

ive reviewed the documentation, but ive had trouble trying to apply them beyond a simple list of numbers.
so, how do i use of itertools.groupby()?  is there another technique i should be using?  pointers to good ""prerequisite"" reading would also be appreciated.
"	['use', 'itertools.groupby', 'havent', 'able', 'find', 'understandable', 'explanation', 'actually', 'use', 'python', 'itertools.groupby', 'function', 'trying', 'take', 'list', 'case', 'child', 'objectified', 'lxml', 'element', 'divide', 'group', 'based', 'criterion', 'later', 'iterate', 'group', 'separately', 'ive', 'reviewed', 'documentation', 'ive', 'trouble', 'trying', 'apply', 'beyond', 'simple', 'list', 'number', 'use', 'itertools.groupby', 'another', 'technique', 'using', 'pointer', 'good', 'prerequisite', 'reading', 'would', 'also', 'appreciated']	['python', 'itertools']
12	871	"why is git better than subversion? ive been using subversion for a few years and after using sourcesafe, i just love subversion.  combined with tortoisesvn, i cant really imagine how it could be any better.  
yet theres a growing number of developers claiming that subversion has problems and that we should be moving to the new breed of distributed version control systems, such as git.  
how does git improve upon subversion?
"	['git', 'better', 'subversion', 'ive', 'using', 'subversion', 'year', 'using', 'sourcesafe', 'love', 'subversion', 'combined', 'tortoisesvn', 'cant', 'really', 'imagine', 'could', 'better', 'yet', 'there', 'growing', 'number', 'developer', 'claiming', 'subversion', 'problem', 'moving', 'new', 'breed', 'distributed', 'version', 'control', 'system', 'git', 'git', 'improve', 'upon', 'subversion']	['svn', 'git']
13	888	"how do you debug php scripts? how do you debug php scripts?
i am aware of basic debugging such as using the error reporting. the breakpoint debugging in phpeclipse is also quite useful.
what is the best (in terms of fast and easy) way to debug in phpstorm or any other ide?
"	['debug', 'php', 'script', 'debug', 'php', 'script', 'aware', 'basic', 'debugging', 'using', 'error', 'reporting', 'breakpoint', 'debugging', 'phpeclipse', 'also', 'quite', 'useful', 'best', 'term', 'fast', 'easy', 'way', 'debug', 'phpstorm', 'ide']	['php', 'eclipse', 'debugging', 'phpstorm', 'xdebug']
14	972	"adding a method to an existing object instance ive read that it is possible to add a method to an existing object (i.e., not in the class definition) in python. 
i understand that its not always good to do so. but how might one do this?
"	['adding', 'method', 'existing', 'object', 'instance', 'ive', 'read', 'possible', 'add', 'method', 'existing', 'object', 'i.e.', 'class', 'definition', 'python', 'understand', 'always', 'good', 'might', 'one']	['python', 'oop', 'methods', 'monkeypatching']
15	1005	"getting root permissions on a file inside of vi? often while editing config files, ill open one with vi and then when i go to save it realize that i didnt type
sudo vi filename

is there any way to give vi sudo privileges to save the file? i seem to recall seeing something about this while looking up some stuff about vi a while ago, but now i cant find it.
"	['getting', 'root', 'permission', 'file', 'inside', 'often', 'editing', 'config', 'file', 'ill', 'open', 'one', 'save', 'realize', 'didnt', 'type', 'sudo', 'filename', 'way', 'give', 'sudo', 'privilege', 'save', 'file', 'seem', 'recall', 'seeing', 'something', 'looking', 'stuff', 'ago', 'cant', 'find']	['linux', 'unix', 'vi']
16	1108	"how does database indexing work? given that indexing is so important as your data set increases in size, can someone explain how indexing works at a database agnostic level?
for information on queries to index a field, check out how do i index a database column.
"	['database', 'indexing', 'work', 'given', 'indexing', 'important', 'data', 'set', 'increase', 'size', 'someone', 'explain', 'indexing', 'work', 'database', 'agnostic', 'level', 'information', 'query', 'index', 'field', 'check', 'index', 'database', 'column']	['sql', 'database', 'performance', 'indexing', 'database-indexes']
17	1276	"how big can a mysql database get before performance starts to degrade at what point does a mysql database start to lose performance?

does physical database size matter?
do number of records matter?
is any performance degradation linear or exponential?

i have what i believe to be a large database, with roughly m records which take up almost gb. based on these numbers, is there any incentive for me to clean the data out, or am i safe to allow it to continue scaling for a few more years?
"	['big', 'mysql', 'database', 'get', 'performance', 'start', 'degrade', 'point', 'mysql', 'database', 'start', 'lose', 'performance', 'physical', 'database', 'size', 'matter', 'number', 'record', 'matter', 'performance', 'degradation', 'linear', 'exponential', 'believe', 'large', 'database', 'roughly', 'record', 'take', 'almost', 'based', 'number', 'incentive', 'clean', 'data', 'safe', 'allow', 'continue', 'scaling', 'year']	['mysql', 'database', 'database-performance']
18	1408	"make xampp   apache serve file outside of htdocs folder is it possible to configure xampp to serve up a file outside of the htdocs directory?
for instance, say i have a file located as follows:
c:\projects\transitcalculator\trunk\transitcalculator.php
and my xampp files are normally served out from:
c:\xampp\htdocs\
(because thats the default configuration) is there some way to make apache recognize and serve up my transitcalculator.php file without moving it under htdocs? preferably id like apache to serve up have access to the entire contents of the projects directory, and i dont want to move the projects directory under htdocs.
edit: edited to add apache to the question title to make q a more ""searchable""
"	['make', 'xampp', 'apache', 'serve', 'file', 'outside', 'htdocs', 'folder', 'possible', 'configure', 'xampp', 'serve', 'file', 'outside', 'htdocs', 'directory', 'instance', 'say', 'file', 'located', 'follows', '\\projects\\transitcalculator\\trunk\\transitcalculator.php', 'xampp', 'file', 'normally', 'served', '\\xampp\\htdocs\\', 'thats', 'default', 'configuration', 'way', 'make', 'apache', 'recognize', 'serve', 'transitcalculator.php', 'file', 'without', 'moving', 'htdocs', 'preferably', 'like', 'apache', 'serve', 'access', 'entire', 'content', 'project', 'directory', 'dont', 'want', 'move', 'project', 'directory', 'htdocs', 'edit', 'edited', 'add', 'apache', 'question', 'title', 'make', 'searchable']	['php', 'apache', 'xampp', 'server-configuration']
19	1644	"what good technology podcasts are out there? yes, podcasts, those nice little audiobooks i can listen to on the way to work. with the current amount of podcasts, its like searching a needle in a haystack, except that the haystack happens to be the internet and is filled with too many of these ""hot new gadgets"" stuff :(
now, even though i am mainly a .net developer nowadays, maybe anyone knows some good podcasts from people regarding the whole software lifecycle? unit testing, continous integration, documentation, deployment...
so   what are you guys and gals listening to?

please note that the categorizations are somewhat subjective and may not be % accurate as many podcasts cover several areas. categorization is made against what is considered the ""main"" area.
general software engineering   productivity

stack overflow (inactive, but still a good listen)
tekpub (requires paid subscription)
software engineering radio
 folders
perspectives
dr. dobbs (now a video feed)
the pragmatic podcast (inactive)
it matters 
agile toolkit podcast
the stack trace (inactive)
parleys
techzing
the startup success podcast
berkeley cs class lectures
floss weekly
this developers life

.net   visual studio   microsoft

herding code
hanselminutes
.net rocks!
deep fried bytes
alt.net podcast (inactive)
polymorphic podcast (inconsistent)
sparkling client (the silverlight podcast)
dnrtv!
spaghetti code
asp.net podcast
channel 
radio tfs
powerscripting podcast
the thirsty developer
elegant code (inactive)
connectedshow
crafty coders
coding qa

jquery

yayquery
the official jquery podcast

java   groovy

the java posse
grails podcast
java technology insider
basement coders

ruby   rails

railscasts
rails envy
the ruby on rails podcast
rubiverse
ruby

web design   javascript   ajax

webdevradio
boagworld
the rissington podcast
ajaxian
yui theater

unix   linux   mac   iphone

mac developer network
hacker public radio
linux outlaws
mac os ken
lugradio linux radio show (inactive)
the linux action show!
linux kernel mailing list (lkml) summary podcast
stanfords iphone programming class
advanced iphone development course   madison area technical college
wwdc  session videos (requires apple developer registration)

system administration, security or infrastructure

runas radio
security now!
crypto gram security podcast
hak
vmware vmtn
windows weekly
pauldotcom security
the register   semi coherent computing
feathercast

general tech   business

tekzilla
this week in tech
the guardian tech weekly
pcmag radio podcast (inactive)
entrepreneurship corner
manager tools

other   misc.   podcast networks

it conversations
retrobits podcast
no agenda netcast
cranky geeks
the command line
freelance radio
ibm developerworks
the register   open season
drunk and retired
technometria
sod this
radionerds
hacker medley

"	['good', 'technology', 'podcasts', 'yes', 'podcasts', 'nice', 'little', 'audiobooks', 'listen', 'way', 'work', 'current', 'amount', 'podcasts', 'like', 'searching', 'needle', 'haystack', 'except', 'haystack', 'happens', 'internet', 'filled', 'many', 'hot', 'new', 'gadget', 'stuff', 'even', 'though', 'mainly', '.net', 'developer', 'nowadays', 'maybe', 'anyone', 'know', 'good', 'podcasts', 'people', 'regarding', 'whole', 'software', 'lifecycle', 'unit', 'testing', 'continous', 'integration', 'documentation', 'deployment', 'guy', 'gal', 'listening', 'please', 'note', 'categorization', 'somewhat', 'subjective', 'may', 'accurate', 'many', 'podcasts', 'cover', 'several', 'area', 'categorization', 'made', 'considered', 'main', 'area', 'general', 'software', 'engineering', 'productivity', 'stack', 'overflow', 'inactive', 'still', 'good', 'listen', 'tekpub', 'requires', 'paid', 'subscription', 'software', 'engineering', 'radio', 'folder', 'perspective', 'dr.', 'dobbs', 'video', 'feed', 'pragmatic', 'podcast', 'inactive', 'matter', 'agile', 'toolkit', 'podcast', 'stack', 'trace', 'inactive', 'parley', 'techzing', 'startup', 'success', 'podcast', 'berkeley', 'class', 'lecture', 'floss', 'weekly', 'developer', 'life', '.net', 'visual', 'studio', 'microsoft', 'herding', 'code', 'hanselminutes', '.net', 'rock', 'deep', 'fried', 'byte', 'alt.net', 'podcast', 'inactive', 'polymorphic', 'podcast', 'inconsistent', 'sparkling', 'client', 'silverlight', 'podcast', 'dnrtv', 'spaghetti', 'code', 'asp.net', 'podcast', 'channel', 'radio', 'tfs', 'powerscripting', 'podcast', 'thirsty', 'developer', 'elegant', 'code', 'inactive', 'connectedshow', 'crafty', 'coder', 'coding', 'jquery', 'yayquery', 'official', 'jquery', 'podcast', 'java', 'groovy', 'java', 'posse', 'grail', 'podcast', 'java', 'technology', 'insider', 'basement', 'coder', 'ruby', 'rail', 'railscasts', 'rail', 'envy', 'ruby', 'rail', 'podcast', 'rubiverse', 'ruby', 'web', 'design', 'javascript', 'ajax', 'webdevradio', 'boagworld', 'rissington', 'podcast', 'ajaxian', 'yui', 'theater', 'unix', 'linux', 'mac', 'iphone', 'mac', 'developer', 'network', 'hacker', 'public', 'radio', 'linux', 'outlaw', 'mac', 'ken', 'lugradio', 'linux', 'radio', 'show', 'inactive', 'linux', 'action', 'show', 'linux', 'kernel', 'mailing', 'list', 'lkml', 'summary', 'podcast', 'stanford', 'iphone', 'programming', 'class', 'advanced', 'iphone', 'development', 'course', 'madison', 'area', 'technical', 'college', 'wwdc', 'session', 'video', 'requires', 'apple', 'developer', 'registration', 'system', 'administration', 'security', 'infrastructure', 'runas', 'radio', 'security', 'crypto', 'gram', 'security', 'podcast', 'hak', 'vmware', 'vmtn', 'window', 'weekly', 'pauldotcom', 'security', 'register', 'semi', 'coherent', 'computing', 'feathercast', 'general', 'tech', 'business', 'tekzilla', 'week', 'tech', 'guardian', 'tech', 'weekly', 'pcmag', 'radio', 'podcast', 'inactive', 'entrepreneurship', 'corner', 'manager', 'tool', 'misc', 'podcast', 'network', 'conversation', 'retrobits', 'podcast', 'agenda', 'netcast', 'cranky', 'geek', 'command', 'line', 'freelance', 'radio', 'ibm', 'developerworks', 'register', 'open', 'season', 'drunk', 'retired', 'technometria', 'sod', 'radionerds', 'hacker', 'medley']	['podcast']
20	1669	"learning to write a compiler preferred languages: c c++, java, and ruby.
i am looking for some helpful books tutorials on how to write your own compiler simply for educational purposes. i am most familiar with c c++, java, and ruby, so i prefer resources that involve one of those three, but any good resource is acceptable.
"	['learning', 'write', 'compiler', 'preferred', 'language', 'c++', 'java', 'ruby', 'looking', 'helpful', 'book', 'tutorial', 'write', 'compiler', 'simply', 'educational', 'purpose', 'familiar', 'c++', 'java', 'ruby', 'prefer', 'resource', 'involve', 'one', 'three', 'good', 'resource', 'acceptable']	['compiler-construction', 'language-agnostic']
21	1711	"what is the single most influential book every programmer should read? if you could go back in time and tell yourself to read a specific book at the beginning of your career as a developer, which book would it be?
i expect this list to be varied and to cover a wide range of things.
to search: use the search box in the upper right corner. to search the answers of the current question, use inquestion:this.  for example:
inquestion:this ""code complete""

"	['single', 'influential', 'book', 'every', 'programmer', 'read', 'could', 'back', 'time', 'tell', 'read', 'specific', 'book', 'beginning', 'career', 'developer', 'book', 'would', 'expect', 'list', 'varied', 'cover', 'wide', 'range', 'thing', 'search', 'use', 'search', 'box', 'upper', 'right', 'corner', 'search', 'answer', 'current', 'question', 'use', 'inquestion', 'example', 'inquestion', 'code', 'complete']	['resources']
22	1854	"python: what os am i running on? what do i need to look at to see whether im on windows or unix, etc?
"	['python', 'running', 'need', 'look', 'see', 'whether', 'window', 'unix', 'etc']	['python', 'cross-platform', 'platform-specific', 'platform-agnostic']
23	2034	"what do the result codes in svn mean? what do the result codes in svn mean? i need a quick reference.
"	['result', 'code', 'svn', 'mean', 'result', 'code', 'svn', 'mean', 'need', 'quick', 'reference']	['svn']
24	2041	"how do i create a branch? how do i create a branch in svn?
"	['create', 'branch', 'create', 'branch', 'svn']	['svn', 'version-control', 'branch', 'branching-and-merging']
25	2056	"what are mvp and mvc and what is the difference? when looking beyond the rad (drag drop and configure) way of building user interfaces that many tools encourage you are likely to come across three design patterns called model view controller, model view presenter and model view viewmodel. my question has three parts to it:

what issues do these patterns address?
how are they similar?
how are they different?

"	['mvp', 'mvc', 'difference', 'looking', 'beyond', 'rad', 'drag', 'drop', 'configure', 'way', 'building', 'user', 'interface', 'many', 'tool', 'encourage', 'likely', 'come', 'across', 'three', 'design', 'pattern', 'called', 'model', 'view', 'controller', 'model', 'view', 'presenter', 'model', 'view', 'viewmodel', 'question', 'three', 'part', 'issue', 'pattern', 'address', 'similar', 'different']	['user-interface', 'model-view-controller', 'design-patterns', 'terminology', 'mvp']
26	2232	"how to call shell commands from ruby how do i call shell commands from inside of a ruby program? how do i then get output from these commands back into ruby?
"	['call', 'shell', 'command', 'ruby', 'call', 'shell', 'command', 'inside', 'ruby', 'program', 'get', 'output', 'command', 'back', 'ruby']	['ruby', 'shell', 'interop']
27	2530	"how do you disable browser autocomplete on web form field   input tag? how do you disable autocomplete in the major browsers for a specific input (or form field)?
"	['disable', 'browser', 'autocomplete', 'web', 'form', 'field', 'input', 'tag', 'disable', 'autocomplete', 'major', 'browser', 'specific', 'input', 'form', 'field']	['html', 'forms', 'browser', 'autocomplete']
28	2647	"how do i split a string so i can access item x? using sql server, how do i split a string so i can access item x?
take a string ""hello john smith"". how can i split the string by space and access the item at index  which should return ""john""?
"	['split', 'string', 'access', 'item', 'using', 'sql', 'server', 'split', 'string', 'access', 'item', 'take', 'string', 'hello', 'john', 'smith', 'split', 'string', 'space', 'access', 'item', 'index', 'return', 'john']	['sql', 'sql-server', 'tsql', 'split']
29	2767	"recommended add ons plugins for microsoft visual studio can anyone recommend any good add ons or plugins for microsoft visual studio?
freebies are preferred, but if it is worth the cost then thats fine.
"	['recommended', 'add', 'ons', 'plugins', 'microsoft', 'visual', 'studio', 'anyone', 'recommend', 'good', 'add', 'ons', 'plugins', 'microsoft', 'visual', 'studio', 'freebie', 'preferred', 'worth', 'cost', 'thats', 'fine']	['visual-studio', 'plugins', 'add-on']
30	2861	"options for html scraping? im thinking of trying beautiful soup, a python package for html scraping. are there any other html scraping packages i should be looking at? python is not a requirement, im actually interested in hearing about other languages as well.
the story so far:

python

beautiful soup
lxml
htql
scrapy
mechanize


ruby

nokogiri
hpricot
mechanize
scrapi
scrubyt!
wombat
watir


.net

html agility pack
watin


perl

www::mechanize
web scraper


java

tag soup
htmlunit
web harvest
[jarvest] 
jsoup
jericho html parser


javascript

request
cheerio
artoo
node horseman
phantomjs


php

[goutte] 
htmlsql
php simple html dom parser
php scraping with curl
scarletsquery


go

goquery
dataflow kit


most of them

screen scraper



"	['option', 'html', 'scraping', 'thinking', 'trying', 'beautiful', 'soup', 'python', 'package', 'html', 'scraping', 'html', 'scraping', 'package', 'looking', 'python', 'requirement', 'actually', 'interested', 'hearing', 'language', 'well', 'story', 'far', 'python', 'beautiful', 'soup', 'lxml', 'htql', 'scrapy', 'mechanize', 'ruby', 'nokogiri', 'hpricot', 'mechanize', 'scrapi', 'scrubyt', 'wombat', 'watir', '.net', 'html', 'agility', 'pack', 'watin', 'perl', 'www', ':mechanize', 'web', 'scraper', 'java', 'tag', 'soup', 'htmlunit', 'web', 'harvest', 'jarvest', 'jsoup', 'jericho', 'html', 'parser', 'javascript', 'request', 'cheerio', 'artoo', 'node', 'horseman', 'phantomjs', 'php', 'goutte', 'htmlsql', 'php', 'simple', 'html', 'dom', 'parser', 'php', 'scraping', 'curl', 'scarletsquery', 'goquery', 'dataflow', 'kit', 'screen', 'scraper']	['html', 'web-scraping', 'html-parsing', 'html-content-extraction']
31	2933	"create a directly executable cross platform gui app using python python works on multiple platforms and can be used for desktop and web applications, thus i conclude that there is some way to compile it into an executable for mac, windows and linux.
the problem being i have no idea where to start or how to write a gui with it, can anybody shed some light on this and point me in the right direction please?
"	['create', 'directly', 'executable', 'cross', 'platform', 'gui', 'app', 'using', 'python', 'python', 'work', 'multiple', 'platform', 'used', 'desktop', 'web', 'application', 'thus', 'conclude', 'way', 'compile', 'executable', 'mac', 'window', 'linux', 'problem', 'idea', 'start', 'write', 'gui', 'anybody', 'shed', 'light', 'point', 'right', 'direction', 'please']	['python', 'user-interface', 'deployment', 'tkinter', 'release-management']
32	3021	"what is recursion and when should i use it? one of the topics that seems to come up regularly on mailing lists and online discussions is the merits (or lack thereof) of doing a computer science degree. an argument that seems to come up time and again for the negative party is that they have been coding for some number of years and they have never used recursion.
so the question is:

what is recursion?
when would i use recursion?
why dont people use recursion?

"	['recursion', 'use', 'one', 'topic', 'seems', 'come', 'regularly', 'mailing', 'list', 'online', 'discussion', 'merit', 'lack', 'thereof', 'computer', 'science', 'degree', 'argument', 'seems', 'come', 'time', 'negative', 'party', 'coding', 'number', 'year', 'never', 'used', 'recursion', 'question', 'recursion', 'would', 'use', 'recursion', 'dont', 'people', 'use', 'recursion']	['recursion', 'computer-science']
33	3058	"what is inversion of control? inversion of control (ioc) can be quite confusing when it is first encountered.

what is it?
which problem does it solve?
when is it appropriate to use and when not?

"	['inversion', 'control', 'inversion', 'control', 'ioc', 'quite', 'confusing', 'first', 'encountered', 'problem', 'solve', 'appropriate', 'use']	['oop', 'design-patterns', 'inversion-of-control']
34	3061	"calling a function of a module by using its name (a string) what is the best way to go about calling a function given a string with the functions name in a python program.  for example, lets say that i have a module foo, and i have a string whose content is ""bar"". what is the best way to call foo.bar()?
i need to get the return value of the function, which is why i dont just use eval. i figured out how to do it by using eval to define a temp function that returns the result of that function call, but im hoping that there is a more elegant way to do this.
"	['calling', 'function', 'module', 'using', 'name', 'string', 'best', 'way', 'calling', 'function', 'given', 'string', 'function', 'name', 'python', 'program', 'example', 'let', 'say', 'module', 'foo', 'string', 'whose', 'content', 'bar', 'best', 'way', 'call', 'foo.bar', 'need', 'get', 'return', 'value', 'function', 'dont', 'use', 'eval', 'figured', 'using', 'eval', 'define', 'temp', 'function', 'return', 'result', 'function', 'call', 'hoping', 'elegant', 'way']	['python', 'object']
